"DATA","MAQUINA","INICIO","FIM","COD_MOTIVO","DESC","GRUPO","OBS"
"2026-02-20","Prensa Recorte 01","16:00","16:48","IN033","Revezamento","IND",""
"2026-02-20","Rodadeira 01","07:00","10:30","TU001","Produção","TU",""
"2026-02-20","Rodadeira 01","10:30","11:30","TU001","Produção","TU",""
"2026-02-20","Rodadeira 01","11:30","12:30","PP006","Refeição (Almoço, Jantar e Lanche)","PP",""
"2026-02-20","Rodadeira 01","12:30","15:00","TU001","Produção","TU",""
"2026-02-04","Prensa Recorte 01","09:35","10:30","TU001","Produção","TU",""
"2026-02-04","Prensa Recorte 01","10:30","10:35","TU002","Carregamento de bobina/matéria prima","IND",""
"2026-02-04","Prensa Recorte 01","10:35","11:30","TU001","Produção","TU",""
"2026-02-04","Prensa Recorte 01","11:30","12:30","PP006","Refeição (Almoço, Jantar e Lanche)","PP",""
"2026-02-04","Prensa Recorte 01","12:30","13:10","TU001","Produção","TU",""
"2026-02-04","Prensa Recorte 01","13:10","13:15","TU002","Carregamento de bobina/matéria prima","IND",""
"2026-02-04","Prensa Recorte 01","13:15","14:20","TU001","Produção","TU",""
"2026-02-04","Prensa Recorte 01","14:20","14:25","TU002","Carregamento de bobina/matéria prima","IND",""
"2026-02-04","Prensa Recorte 01","14:25","15:00","TU001","Produção","TU",""
"2026-02-04","Prensa Recorte 01","15:00","15:05","TU002","Carregamento de bobina/matéria prima","IND",""
"2026-02-04","Prensa Recorte 01","15:05","16:48","TU001","Produção","TU",""
"2026-02-04","Prensa Recorte 02","07:00","07:10","IN038","Aguardando a entrega de EPI","IND",""
"2026-02-04","Prensa Recorte 02","07:10","08:40","TU001","Produção","TU",""
