"DATA","MAQUINA","CODIGO","QTD","DESCRICAO","DESTINO","COMP","PESO_TOTAL"
"2026-03-13","Perf. Telha Trapezoidal Marafon","02007","100","TELHA GALVALUME TP 40 0,43MM 7,00M","Estoque","",""
"2026-03-13","Perf. Telha Trapezoidal Marafon","02005","100","TELHA GALVALUME TP 40 0,43MM 5,00M","Estoque","",""
"2026-03-16","Perf. Telha Trapezoidal Marafon","02005","200","TELHA GALVALUME TP 40 0,43MM 5,00M","Estoque","",""
"2026-03-16","Perf. Telha Trapezoidal Marafon","02004","89","TELHA GALVALUME TP 40 0,43MM 4,00M","Estoque","",""
"2026-03-16","Perf. Telha Trapezoidal Marafon","02006","60","TELHA GALVALUME TP 40 0,43MM 6,00M","Estoque","",""
"2026-03-17","Perf. Telha Trapezoidal Marafon","02006","31","TELHA GALVALUME TP 40 0,43MM 6,00M","Estoque","",""
"2026-03-18","Perf. Telha Trapezoidal Marafon","02006","200","TELHA GALVALUME TP 40 0,43MM 6,00M","Estoque","",""
"2026-03-18","Perf. Telha Trapezoidal Marafon","02004","202","TELHA GALVALUME TP 40 0,43MM 4,00M","Estoque","",""
"2026-03-18","Perf. Telha Trapezoidal Marafon","02007","100","TELHA GALVALUME TP 40 0,43MM 7,00M","Estoque","",""
"2026-03-18","Perf. Telha Trapezoidal Marafon","02006","150","TELHA GALVALUME TP 40 0,43MM 6,00M","Estoque","",""
"2026-03-18","Perf. Telha Trapezoidal Marafon","02000","246","TELHA GALVALUME TP 40 0,43MM","Estoque","",""
"2026-03-19","Perf. Telha Trapezoidal Marafon","02000","47","TELHA GALVALUME TP 40 0,43MM","Estoque","",""
